PID,Original URL,New File Name,Image Size (KB),Width (px),Height (px),Ratio (x:x)
5fa1a0c7ea8c9619608caa13,https://images.unsplash.com/photo-1489533119213-66a5cd877091?,a0e79dbd-2ffc-400f-b0ec-43d10cf35ff7.png,4269.2890625,2678,1785,2678:1785
602b8b4431cceb85b893a7d3,https://storage.googleapis.com/hdruk-gateway_prod-cms/allianceMembers/Capture.PNG?mtime=20210303105501&amp;focal=none,251ac20f-1d02-4451-b80c-b8e08291aab9.png,185.4453125,536,312,67:39
5fd21dc108a6025025d9a982,https://www.hdruk.ac.uk/wp-content/uploads/2019/11/HRD_share_image.png,092feace-d42d-49b1-a5c2-29e9c74a8c58.png,1279.587890625,2049,1026,683:342
64fc4ee95ca00ee1865e9c5c,https://phenotypes.healthdatagateway.org/static/img/Footer_logos/hdruk_logo.png,8ff0309c-5619-456e-b664-0e7aa55da8cf.png,58.7900390625,597,223,597:223
5fd2292108a6026200d9a9a0,https://www.hdruk.ac.uk/wp-content/uploads/2019/11/HRD_share_image.png,412fc9b3-ed47-4f4a-b17b-9e8d1a4d4e99.png,1279.587890625,2049,1026,683:342
60e58393ecfb139adf90233e,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/jafar-ahmed-E285pJbC4uE-unsplash.jpg?mtime=20210707112405&amp;focal=none,183d939a-3a30-4194-bad1-c3298bd2c697.png,3257.3876953125,2048,1366,1024:683
6287789f74aa156c23683a56,https://cancer-data.ecrc.ed.ac.uk/wp-content/uploads/2021/12/cropped-ECi-logo_transp.png,284b8ec6-f803-435d-ad44-2aa7e6608118.png,11.4931640625,448,175,64:25
661d93e6be73d9714cab6670,https://www.hdruk.ac.uk/wp-content/uploads/2022/11/shutterstock_1984308584-380x209.jpg,635ac3b3-db74-4db9-a038-78b0039bc1fc.png,136.3388671875,380,209,20:11
5fce1626dd951e608d844733,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/SERP.png,5889bac0-ccb1-4d96-a221-ad21962c86e5.png,30.50390625,700,466,350:233
5fb692883936f24f2a7fc2d8,https://www.recoverytrial.net/images/site-logos/recovery-logo-chosen-mar-2020.jpg,8f89c60f-55b2-4844-a16d-c86812e5c69f.png,107.2744140625,945,295,189:59
602067517f79aac3c1672231,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/q-research-2.png,53e49aba-b152-4142-88bb-5b10360a9f5d.png,19.4189453125,700,466,350:233
61eacdf67752d017a2c3af0c,https://storage.googleapis.com/hdruk-gateway_non-prod-cms/QResearch/q-research-blue-750px.png,387e12e4-d1dc-4efb-ba51-6b501adbc334.png,13.8544921875,750,400,15:8
64e5e5d69de5c4730b0cda1e,https://attachments.office.net/owa/Ping.Yu%40hdruk.ac.uk/service.svc/s/GetAttachmentThumbnail?id=AAMkAGNkOTkxNWE2LTZiMTgtNDgyZi1iZjBmLTYzYTY0NDExNGM0NABGAAAAAAAIKdnFOFwbT6vTk0QYOHLBBwCsDGtmOugMQ4%2Fqnfo5PZ85AAAAAAEMAACsDGtmOugMQ4%2Fqnfo5PZ85AAAgnS7IAAABEgAQANlOaYmdq3lEhxKliSzDz%2Fc%3D&amp;thumbnailType=2&amp;token=eyJhbGciOiJSUzI1NiIsImtpZCI6IjczRkI5QkJFRjYzNjc4RDRGN0U4NEI0NDBCQUJCMTJBMzM5RDlGOTgiLCJ0eXAiOiJKV1QiLCJ4NXQiOiJjX3VidnZZMmVOVDM2RXRFQzZ1eEtqT2RuNWcifQ.eyJvcmlnaW4iOiJodHRwczovL291dGxvb2sub2ZmaWNlLmNvbSIsInVjIjoiOTY0YWViODllYWQyNGY3ZGE4NzdhNzNjOWJhZDQ0OWQiLCJzaWduaW5fc3RhdGUiOiJbXCJrbXNpXCJdIiwidmVyIjoiRXhjaGFuZ2UuQ2FsbGJhY2suVjEiLCJhcHBjdHhzZW5kZXIiOiJPd2FEb3dubG9hZEA4NDRjYWNiMS03MDI3LTQyNjMtOWQ4YS0xOGZhYTViZjA4MzkiLCJpc3NyaW5nIjoiV1ciLCJhcHBjdHgiOiJ7XCJtc2V4Y2hwcm90XCI6XCJvd2FcIixcInB1aWRcIjpcIjExNTM4MDExMjU3MDE0NDc2MTZcIixcInNjb3BlXCI6XCJPd2FEb3dubG9hZFwiLFwib2lkXCI6XCI0MjM5YTkwNS04NzQyLTQ3NzItOWQxMC0yMTg0Y2FmYWQxNGFcIixcInByaW1hcnlzaWRcIjpcIlMtMS01LTIxLTIxODM1OTE0ODMtMTYzNDk2ODI1LTU4MjQ1NDMwMC0yOTc2NjAxMFwifSIsIm5iZiI6MTY5MzMyMzczMiwiZXhwIjoxNjkzMzI0MzMyLCJpc3MiOiIwMDAwMDAwMi0wMDAwLTBmZjEtY2UwMC0wMDAwMDAwMDAwMDBAODQ0Y2FjYjEtNzAyNy00MjYzLTlkOGEtMThmYWE1YmYwODM5IiwiYXVkIjoiMDAwMDAwMDItMDAwMC0wZmYxLWNlMDAtMDAwMDAwMDAwMDAwL2F0dGFjaG1lbnRzLm9mZmljZS5uZXRAODQ0Y2FjYjEtNzAyNy00MjYzLTlkOGEtMThmYWE1YmYwODM5IiwiaGFwcCI6Im93YSJ9.lDbcYD9c44au0cuTnkGtQQypTwJJuIzSLMD5ufyqri7wLlVIUBvAjyiCmvpQpYyob8H5FTETpUpGUCIEt0jFWXYNuVYg0qz2k5ZjY6V_5CFHQYeJEy4dqYMbI2E2dRuMqQ7cizXTBYuZEhkgGbMKrCvrxCiRwVNS7WBadzhfEzq8zMbRcbykNCDAc2a5JobUg2mjbfZQdKfvcINWkxjiFgleAf2DCwpj6bYoOhyy_Yi_3kAe0c5MIJY2nNDvIodKqr-5xcb3MhANAwXQA-mtgIOWIk6NiuPEC4PcGphriTGrt8Hnnhb43Tf8Vqd-etGkpSubNsohLvl6Dl6vEVLw8Q&amp;X-OWA-CANARY=CxqDPY18zEqh4OVk2M-JcyBOY_emqNsY2B_JqyHUdGrPvzuwj0eN7fiCnqmQbP6nn7BWjliZQec.&amp;owa=outlook.office.com&amp;scriptVer=20230811007.09&amp;animation=true,,,,,
5f281a88b409ac1ade289cb8,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/PROTECT-logo.png?mtime=20210816104909&amp;focal=none,1df4dde4-513c-42e3-bf94-56a2098db781.png,254.8310546875,2048,771,2048:771
60e57bd2ecfb13d25b9022a8,https://www.hdruk.ac.uk/wp-content/uploads/2020/05/cancerpic3.jpg,c8440849-9a57-4e0e-9d2e-ce360268c09f.png,227.2373046875,612,408,3:2
5f32a7d53b1d85c427e97c01,https://medcitynews.com/uploads/2017/11/GettyImages-483265099.jpg,,,,,
5fce16ac2d7b1e08051f3fa7,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/Office-for-National-Statistics.png,654ab4d8-9107-45fa-b51a-13d17b022687.png,17.6845703125,700,466,350:233
