question id,MK2 question_id
safepeopleprimaryapplicantfullname,341
safepeopleprimaryapplicantjobtitle,342
safepeopleprimaryapplicanttelephone,343
safepeopleprimaryapplicantorcid,344
safepeopleprimaryapplicantemail,345
safepeopleprimaryapplicantaccessdata,350
safepeopleprimaryapplicantaccreditedresearcher,351
safepeopleprimaryapplicanttraininginformationgovernance,354
safepeopleprimaryapplicantorganisationname,346
safepeopleprimaryapplicantorganisationdatasecurityprotectionkit,357
safepeopleprimaryapplicantorganisationdatacontroller,360
safepeopleprimaryapplicantuploadedcv,369
safepeopleotherindividualsfullname,371
safepeopleotherindividualsjobtitle,372
safepeopleotherindividualsorganisation,378
safepeopleotherindividualsrole,379
safepeopleotherindividualsaccessdata,381
safepeopleotherindividualsaccreditedresearcher,383
safepeopleotherindividualstraininginformationgovernance,385
safepeopleotherindividualsuploadedcv,388
safepeopleotherindividualsexperience,389
safeprojectaboutthisapplicationtype,390
safeprojectprojectdetailstitle,395
safeprojectprojectdetailstype,396
safeprojectprojectdetailsneworexisting,399
safeprojectprojectdetailslaysummary,405
safeproject-projectdetails-startdate,406
safeproject-projectdetails-enddate,407
safeprojectprojectdetailsaimsobjectivesrationale,408
safeprojectprojectdetailsdatausageforobjectives,409
safeprojectprojectdetailspublicbenefitimpact,410
safeprojectprojectdetailspublicpatientinvolvementengagement,422
safeprojectprojectdetailsindividualprivacyriskmitigation,412
safeprojectprojectdetailsresearchprojectsummarykeywords,423
safeprojectprojectdetailsresearchprojectfuturedatabasebenefit,424
safeprojectfunderinformationprojecthasfunder,428
safeprojectsponsorinformationprojecthassponsor,435
safeprojectdeclarationofinteresthascommercialinterest,451
safeprojectintellectualpropertydevelopmentnewproductprocess,461
safedatadatafieldsdatarequiredjustification,462
safedatadatafieldsfileuploaded,463
safedatadatafieldsinclusionexclusioncriteria,464
safedatadatafieldsdatarefreshrequired,465
safedatadatafieldsgeographicalcoverage,468
safedatadatafieldsindividualidentifiers,470
safedatadatafieldsaggregatedorrecordlevel,473
safedatadatafieldsdatacustodianconductanalysis,474
safedataotherdatasetslinkadditionaldatasets,479
safedatalawfulbasisgdprarticle6basis,482
safedatalawfulbasisgdprarticle6basisjustification,483
safedatalawfulbasisgdprarticle9conditions,484
safedatalawfulbasisgdprarticle9basisjustification,485
safedataconfidentialityavenuelegalbasisconfidentialinformation,486
safedataethicsapprovalapprovalobtained,495
safedatastorageandprocessingaccessmethod,503
safedatadataflowregionsdataprocessed,539
safeoutputsoutputsdisseminationplansproposalfindings,537
safeoutputsoutputsdisseminationplansdisclosurecontrolpolicy,541
safeoutputs-dataretention-retaindatadate,550
safeoutputsdataretentionretaindataextensionpermissions,548
safeoutputsdataretentionconfirmpurpose,549
safeoutputsdataretentiondestructionmethod,556
safeoutputsdataretentiondestructionevidence,554
