name,publisher,pid,pid_update,accessService,dataUseRequirements,dataUseLimitation,Mapped
ARIA Medonc,OXFORD UNIVERSITY HOSPITALS,88eb839c-bc51-45f0-b15e-ea89bba9ffca,"""88eb839c-bc51-45f0-b15e-ea89bba9ffca"",",,[],[],"Not reported/to be confirmed"
ARIA Radonc,OXFORD UNIVERSITY HOSPITALS,59d72237-6969-4f59-9e87-48138978abe8,"""59d72237-6969-4f59-9e87-48138978abe8"",",,[],[],"Not reported/to be confirmed"
Bridge file: Hospital Episode Statistics to Diagnostic Imaging Dataset,NHS ENGLAND,2f73575d-23c8-4bb8-87db-115cde076127,"""2f73575d-23c8-4bb8-87db-115cde076127"",",,[],[],"Not reported/to be confirmed"
CRIS,OXFORD UNIVERSITY HOSPITALS,67cea834-33f5-4ed7-9dc2-072ad077de07,"""67cea834-33f5-4ed7-9dc2-072ad077de07"",",,[],[],"Not reported/to be confirmed"
CellPath,OXFORD UNIVERSITY HOSPITALS,c4538af4-505f-45df-aeae-788ddfd7cb54,"""c4538af4-505f-45df-aeae-788ddfd7cb54"",",,[],[],"Not reported/to be confirmed"
Endobase,OXFORD UNIVERSITY HOSPITALS,e830b2a5-14d6-4643-a206-619bf5372dc8,"""e830b2a5-14d6-4643-a206-619bf5372dc8"",",,[],[],"Not reported/to be confirmed"
HES:Civil Registration (Deaths) bridge,NHS ENGLAND,21aec912-444f-447d-b3c4-6791a6c82667,"""21aec912-444f-447d-b3c4-6791a6c82667"",",,[],[],"Not reported/to be confirmed"
Infoflex Cancer Registry,OXFORD UNIVERSITY HOSPITALS,5505e91d-9e0a-4969-87d5-00f256d91306,"""5505e91d-9e0a-4969-87d5-00f256d91306"",",,[],[],"Not reported/to be confirmed"
JANUS,OXFORD UNIVERSITY HOSPITALS,6590f79d-cfea-4695-9fe0-dc5f85e6d273,"""6590f79d-cfea-4695-9fe0-dc5f85e6d273"",",,[],[],"Not reported/to be confirmed"
LIMS,OXFORD UNIVERSITY HOSPITALS,df70b490-3c00-458e-a6dd-ea3242a3ebac,"""df70b490-3c00-458e-a6dd-ea3242a3ebac"",",,[],[],"Not reported/to be confirmed"
Mental Health & Learning Disabilities Dataset v 1 (Non-Sensitive) Episodes,NHS ENGLAND,334afc50-a05a-43b9-aa1e-a012a22733e0,"""334afc50-a05a-43b9-aa1e-a012a22733e0"",",,[],[],"Not reported/to be confirmed"
Mental Health & Learning Disabilities Dataset v 1 (Non-Sensitive) Events,NHS ENGLAND,9c8bd383-b117-4167-a25c-9e15fa5ec1c6,"""9c8bd383-b117-4167-a25c-9e15fa5ec1c6"",",,[],[],"Not reported/to be confirmed"
Mental Health & Learning Disabilities Dataset v 1 (Non-Sensitive) Records,NHS ENGLAND,1a8fc23c-b67b-4171-b5e1-1b650fce1ef4,"""1a8fc23c-b67b-4171-b5e1-1b650fce1ef4"",",,[],[],"Not reported/to be confirmed"
Mental Health & Learning Disabilities Dataset v 1 (Sensitive) Episodes,NHS ENGLAND,a27400b0-0efb-4af8-a7bc-e2c7e59796e3,"""a27400b0-0efb-4af8-a7bc-e2c7e59796e3"",",,[],[],"Not reported/to be confirmed"
